,date,time,Flare Flag,1-7 GHz,7-13 GHz,13-18 GHz,Mean,Sigma,Threshold,Count
195,2024-04-03,20:13:41.154000,201341.154,48541.1836,8893.28906,2873.5481,2960.22266,113.713943,3301.3645,180.0
196,2024-04-03,20:13:42.261000,201342.261,48337.0703,8801.21289,2889.18896,2958.44678,112.302864,3295.35547,180.0
197,2024-04-03,20:13:43.315000,201343.315,46928.0273,8829.30957,2875.73096,2956.46484,110.570282,3288.17578,180.0
198,2024-04-03,20:13:44.424000,201344.424,47952.1484,8798.6709,2858.53589,2954.10278,108.051712,3278.25781,180.0
199,2024-04-03,20:13:45.477000,201345.477,46923.3164,8833.62793,2834.14209,2951.83618,106.233009,3270.53516,180.0
200,2024-04-03,20:13:46.586000,201346.586,48195.4961,8802.50586,2882.7085,2949.56323,103.263405,3259.35352,180.0
201,2024-04-03,20:13:47.153000,201347.153,46896.2422,8835.21289,2838.44312,2947.19141,100.842484,3249.71875,180.0
202,2024-04-03,20:13:48.209000,201348.209,47778.4883,8741.44727,2879.56665,2944.88086,97.5333786,3237.48096,180.0
203,2024-04-03,20:13:49.316000,201349.316,48301.2617,8815.96973,2825.97852,2942.43604,94.8987122,3227.13208,180.0
204,2024-04-03,20:13:50.370000,201350.37,48545.3242,8819.2666,2880.09155,2940.36035,92.0995331,3216.65894,180.0
205,2024-04-03,20:13:51.478000,201351.478,47675.6836,8858.54492,2868.64136,2938.17456,89.0440826,3205.30688,180.0
206,2024-04-03,20:13:52.532000,201352.532,47488.9922,8775.11621,2856.021,2935.88403,85.7341614,3193.08643,180.0
207,2024-04-03,20:13:53.153000,201353.153,47168.4375,8763.87305,2835.10718,2933.53394,82.5947876,3181.31836,180.0
208,2024-04-03,20:13:54.153000,201354.153,47255.5352,8843.29883,2872.72852,2931.72607,80.307785,3172.64941,180.0
209,2024-04-03,20:13:55.261000,201355.261,48814.6484,8824.6123,2869.28345,2929.95166,78.0911942,3164.22534,180.0
210,2024-04-03,20:13:56.315000,201356.315,47065.3906,8719.69141,2861.37817,2928.10547,75.7107086,3155.23755,180.0
211,2024-04-03,20:13:57.423000,201357.423,48249.8789,8785.53027,2853.61792,2927.45093,75.8569641,3155.02173,180.0
